no,id,parent_id,theme,confidence,status,headline_hi,headline_en,question_hi,question_en,rti_ref,permalink,sources
40,52,,tourism,B,verified,एक हफ़्ते में 5.47 लाख यात्री,5.47 lakh pilgrims in a single week,"2025 की यात्रा में 72% श्रद्धालु पहले 60 दिनों में ही आ गए, और 4 से 10 जून के एक हफ़्ते में 5.47 लाख लोग पहुँचे, पूरे सीज़न का 11% सिर्फ़ एक हफ़्ते में। भीड़ का यह दबाव सरकार को पहले से पता है। उस एक हफ़्ते के लिए अतिरिक्त डॉक्टर, एम्बुलेंस और पार्किंग की व्यवस्था कितनी थी?","In the 2025 yatra, 72% of pilgrims arrived in the first 60 days, and 5.47 lakh came in the single week of 4–10 June, 11% of the entire season in one week. The government knows this surge pattern in advance. How many additional doctors, ambulances and parking spaces were provided for that week?",RTI-11,https://70sawal.github.io/q/52/,"Garhwal Post: Char Dham Yatra 2025 pilgrim numbers — SDC Foundation analysis <https://garhwalpost.in/char-dham-yatra-2025-continues-with-decline-in-pilgrim-numbers-sdc-foundation/> | Garhwal Post: Char Dham Yatra 2025: SDC Foundation urges government to shift focus from record numbers to a safe, sustainable Yatra <https://garhwalpost.in/urges-govt-to-shift-focus-from-record-numbers-to-safe-sustainable-yatra/>"
41,53,,tourism,C,verified,यात्रा की कमाई का कितना हिस्सा पहाड़ में रुका?,How much yatra revenue stayed in the hills?,"हर साल लाखों श्रद्धालु आते हैं और यात्रा से बड़ी आमदनी होती है। लेकिन उस आमदनी का कितना हिस्सा पहाड़ के लोगों के पास रुकता है, कितने स्थानीय लोगों को रोज़गार मिला, और कितने होमस्टे वाक़ई चल रहे हैं?","Lakhs of pilgrims come every year and the yatra generates substantial revenue. But how much of that money actually stays with people in the hills, how many locals were employed, and how many homestays are genuinely operating?",RTI-11,https://70sawal.github.io/q/53/,"Garhwal Post: Char Dham Yatra 2025: shift focus from record numbers to a safe, sustainable yatra <https://garhwalpost.in/urges-govt-to-shift-focus-from-record-numbers-to-safe-sustainable-yatra/>"
42,54,,women-safety,B,verified,"महिलाओं के ख़िलाफ़ अपराध: 2,846 से 4,337","Crimes against women: from 2,846 to 4,337","राष्ट्रीय अपराध रिकॉर्ड ब्यूरो (NCRB) की 'क्राइम इन इंडिया 2022' रिपोर्ट के मुताबिक उत्तराखंड में महिलाओं के ख़िलाफ़ अपराध के मामले 2020 में 2,846 से बढ़कर 2021 में 3,431 और 2022 में 4,337 हो गए। ये सरकार के अपने आँकड़े हैं। इन तीन सालों में महिला सुरक्षा पर कौन सी ठोस योजना लागू हुई?","According to the NCRB's Crime in India 2022 report, cases of crime against women in Uttarakhand rose from 2,846 in 2020 to 3,431 in 2021 and 4,337 in 2022. These are the government's own figures. Which concrete women's safety programme was implemented across those three years?",RTI-10,https://70sawal.github.io/q/54/,News9: Crime against women on the rise in Uttarakhand: NCRB report <https://www.news9live.com/india/crime-against-women-on-the-rise-in-uttarakhand-ncrb-report-2369027>
42.1,57,54,women-safety,B,verified,"होटल, ढाबे, होमस्टे: सुरक्षा जाँच कितनी हुई?","Hotels, dhabas, homestays: how many were inspected?","पहाड़ में हज़ारों महिलाएँ होटलों, रिज़ॉर्ट, ढाबों और होमस्टे में काम करती हैं, यही यहाँ का सबसे बड़ा रोज़गार है। NCRB के आँकड़े बताते हैं कि महिलाओं के ख़िलाफ़ अपराध बढ़े हैं। इन कार्यस्थलों पर पंजीकरण, शिकायत समिति और सुरक्षा जाँच की व्यवस्था क्या है, और कितने प्रतिष्ठानों की जाँच हुई?","Thousands of women in the hills work in hotels, resorts, dhabas and homestays, it is the largest source of employment here. NCRB data shows crimes against women rising. What registration, complaint-committee and safety-inspection system exists for those workplaces, and how many establishments have actually been inspected?",RTI-10,https://70sawal.github.io/q/54/,"News9: Crime against women on the rise in Uttarakhand: NCRB report <https://www.news9live.com/india/crime-against-women-on-the-rise-in-uttarakhand-ncrb-report-2369027> | Garhwal Post: Char Dham Yatra 2025: SDC Foundation urges government to shift focus from record numbers to a safe, sustainable Yatra <https://garhwalpost.in/urges-govt-to-shift-focus-from-record-numbers-to-safe-sustainable-yatra/>"
43,55,,women-safety,B,verified,बलात्कार के मामलों की दर देश में सबसे ऊँची,The highest rate of rape cases in the country,"NCRB के 2022 के आँकड़ों के अनुसार उत्तराखंड में बलात्कार के मामलों की दर देश में सबसे ऊँची दर्ज हुई, प्रति लाख आबादी 15.4। उसी साल राज्य में 905 बलात्कार के मामले, 70 दहेज हत्याएँ और 956 क्रूरता के मामले दर्ज हुए। जिसे देवभूमि कहा जाता है, वहाँ यह आँकड़ा क्यों?","NCRB data for 2022 records Uttarakhand with the highest rate of rape cases in the country, 15.4 per lakh population. That same year the state recorded 905 rape cases, 70 dowry deaths and 956 cases of cruelty. Why does the place called Devbhoomi carry that number?",RTI-10,https://70sawal.github.io/q/55/,News9: Crime against women on the rise in Uttarakhand: NCRB report <https://www.news9live.com/india/crime-against-women-on-the-rise-in-uttarakhand-ncrb-report-2369027>
44,56,,women-safety,A,verified,"अदालत ने 'वीआईपी' दर्ज किया, पहचान कौन?",The court recorded a 'VIP'. Who was it?,"अंकिता भंडारी हत्याकांड में कोटद्वार की अदालत ने तीनों अभियुक्तों को उम्रक़ैद की सज़ा सुनाई. अदालत ने अपने फ़ैसले में हत्या का कारण यह दर्ज किया कि 'वीआईपी' को विशेष सेवाएँ देने से इनकार किया गया था. जनवरी 2026 में अंकिता के माता-पिता की माँग पर राज्य सरकार ने मामले की CBI जाँच की सिफ़ारिश की. सवाल अदालत के अपने शब्दों से निकलता है: वह वीआईपी कौन था, और क्या आज तक उसकी पहचान कर जाँच की गई?","In the Ankita Bhandari case the court at Kotdwar sentenced all three accused to life imprisonment. In its judgment the court recorded the motive as a refusal to provide special services to a 'VIP'. In January 2026, at her parents' request, the state government recommended a CBI inquiry. The question comes from the court's own words: who was that VIP, and has that person ever been identified and investigated?",,https://70sawal.github.io/q/56/,Deccan Herald: Ankita Bhandari murder case: resort operator among three sentenced to rigorous life imprisonment <https://www.deccanherald.com/amp/story/india%2Futtarakhand%2Fankita-bhandari-murder-case-resort-operator-among-three-sentenced-to-rigorous-life-imprisonment-3564231> | News on AIR (Prasar Bharati): Uttarakhand govt recommends CBI inquiry into Ankita Bhandari case <https://www.newsonair.gov.in/uttarakhand-govt-recommends-cbi-inquiry-into-ankita-bhandari-case> | Peoples Democracy: Uttarakhand: struggle continues in the Ankita Bhandari murder case <https://peoplesdemocracy.in/2026/0118_pd/uttarakhand-struggle-continues-ankita-bhandari-murder-case>
45,59,,governance,A,verified,स्मार्ट सिटी में ₹60 करोड़ से ज़्यादा की अनियमितताएँ,Over Rs 60 crore in irregularities in the Smart City project,"देहरादून स्मार्ट सिटी परियोजना पर CAG की रिपोर्ट (2018-23 की अवधि, मार्च 2026 में सदन में रखी गई) में ₹60 करोड़ से ज़्यादा की वित्तीय अनियमितताएँ दर्ज हैं. सिर्फ़ परामर्श भुगतान (PMC) में ₹5.19 करोड़ की अनियमितता पाई गई. यह पैसा किस-किस काम पर गया, और अब तक कितना वसूला गया?","The CAG's report on the Dehradun Smart City project, covering 2018-23 and tabled in March 2026, records financial irregularities of over Rs 60 crore, including Rs 5.19 crore in project management consultancy payments alone. Which works did that money go to, and how much has been recovered?",RTI-12,https://70sawal.github.io/q/59/,"Comptroller and Auditor General of India: CAG Report No. 5 of 2025: Smart Cities, Uttarakhand (official PDF) <https://cag.gov.in/uploads/download_audit_report/2025/Report-No.-05-Smart-Cities-UK---19-11-2025-signed-069b02aa24e1a16.54541284.pdf> | The Statesman: CAG flags irregularities worth Rs 60 crore in Dehradun Smart City Project <https://www.thestatesman.com/india/cag-plugs-irregularities-worth-rs-60-crore-in-dehradun-smart-city-project-1503569019.html>"
45.1,60,59,governance,A,verified,स्मार्ट सिटी के आठ काम 19 से 38 महीने देर से,Eight Smart City works ran 19 to 38 months late,"CAG के मुताबिक स्मार्ट सिटी की आठ परियोजनाएँ 19 से 38 महीने तक देर से पूरी हुईं. बड़ी वजह यह बताई गई कि साइट ही अड़चन-मुक्त नहीं थी. जिस परियोजना की जगह तय नहीं थी, उसका पैसा पहले क्यों मंज़ूर हुआ?","The CAG records eight Smart City projects completed 19 to 38 months late, largely because the sites were not encumbrance-free. Why was money sanctioned for projects whose sites were not ready?",RTI-12,https://70sawal.github.io/q/59/,"Comptroller and Auditor General of India: CAG Report No. 5 of 2025: Smart Cities, Uttarakhand (official PDF) <https://cag.gov.in/uploads/download_audit_report/2025/Report-No.-05-Smart-Cities-UK---19-11-2025-signed-069b02aa24e1a16.54541284.pdf> | The Statesman: CAG flags irregularities worth Rs 60 crore in Dehradun Smart City Project <https://www.thestatesman.com/india/cag-plugs-irregularities-worth-rs-60-crore-in-dehradun-smart-city-project-1503569019.html>"
45.2,95,59,governance,A,verified,"ई-रिक्शा ख़रीदे गए, चले कभी नहीं","E-rickshaws bought, never run",स्मार्ट सिटी के तहत कूड़ा ढोने के लिए ख़रीदे गए ई-रिक्शा क़रीब दो साल तक खड़े रहे। CAG इसे योजना की कमी बताता है और ख़र्च ₹0.90 करोड़ दर्ज करता है। सवाल यह है कि ख़रीदने से पहले यह क्यों नहीं देखा गया कि ये कहाँ और कैसे चलेंगे?,E-rickshaws procured under the smart waste vehicles project stood idle for nearly two years. The CAG records the cost as Rs 0.90 crore and attributes the outcome to a lack of planning. Why was it not established before purchase where and how these vehicles would actually be used?,RTI-12,https://70sawal.github.io/q/59/,"Comptroller and Auditor General of India: Report No. 5 of 2025, Performance Audit of Smart Cities Mission, Uttarakhand (covers 2018-23) <https://cag.gov.in/uploads/download_audit_report/2025/Report-No.-05-Smart-Cities-UK---19-11-2025-signed-069b02aa24e1a16.54541284.pdf>"
46,61,,governance,A,verified,"₹4.55 करोड़ का सिस्टम बना, तीन साल तक चला ही नहीं",A Rs 4.55 crore system was built and sat unused for three years,"मार्च 2022 में कूड़ा प्रबंधन के लिए बायोमेट्रिक और सेंसर आधारित सिस्टम बनाया गया. CAG के मुताबिक फरवरी 2025 तक वह इस्तेमाल ही नहीं हुआ, और ₹4.55 करोड़ का ख़र्च बेकार गया. जो सिस्टम चला ही नहीं, उसका पैसा किसने मंज़ूर किया?","A biometric and sensor-based solid waste management module was built in March 2022. The CAG records that it remained unused until February 2025, making Rs 4.55 crore of expenditure unfruitful. Who signed off on a system that was never switched on?",RTI-12,https://70sawal.github.io/q/61/,"Comptroller and Auditor General of India: CAG Report No. 5 of 2025: Smart Cities, Uttarakhand (official PDF) <https://cag.gov.in/uploads/download_audit_report/2025/Report-No.-05-Smart-Cities-UK---19-11-2025-signed-069b02aa24e1a16.54541284.pdf>"
47,62,,palayan,B,verified,"जिस पलायन को रोकने के लिए राज्य बना, वही बढ़ गया",The state was created to stop migration. Migration grew.,"उत्तराखंड 2000 में इसीलिए अलग राज्य बना क्योंकि पहाड़ के लोगों को लगता था कि लखनऊ से चलने वाली सरकारें उन्हें अनदेखा करती हैं. पच्चीस साल बाद विकास मुख्यतः मैदानी ज़िलों में केंद्रित है और पहाड़ी ज़िलों से पलायन राज्य बनने के बाद और तेज़ हुआ. जिस मक़सद से राज्य बना, वह पूरा हुआ या नहीं?","Uttarakhand was created as a separate state in 2000 because people in the hills felt neglected by governments run from Lucknow. Twenty-five years on, growth is concentrated in the plains districts and out-migration from the hills has accelerated since statehood. Was the purpose the state was created for achieved?",,https://70sawal.github.io/q/62/,Wikipedia: Uttarakhand movement: the statehood demand and the 1987 Gairsain Declaration <https://en.wikipedia.org/wiki/Uttarakhand_movement>
48,63,,vaada,B,verified,1987 में गैरसैंण को राजधानी घोषित किया गया था,Gairsain was declared the capital in 1987,"1987 के 'गैरसैंण घोषणापत्र' में उत्तराखंड क्रांति दल ने प्रस्तावित राज्य की राजधानी गैरसैंण घोषित की थी. राज्य बनने पर देहरादून को अस्थायी राजधानी बनाया गया. अड़तीस साल बाद भी स्थायी राजधानी देहरादून ही है. यह वादा किस-किस सरकार ने दोहराया, और किसी ने पूरा क्यों नहीं किया?","The 1987 Gairsain Declaration by the Uttarakhand Kranti Dal named Gairsain as the capital of the proposed state. On statehood, Dehradun was made the interim capital. Thirty-eight years later the permanent capital is still Dehradun. Which governments repeated this promise, and why has none delivered it?",,https://70sawal.github.io/q/63/,Wikipedia: Uttarakhand movement: the statehood demand and the 1987 Gairsain Declaration <https://en.wikipedia.org/wiki/Uttarakhand_movement>
49,64,,governance,B,verified,डबल इंजन के सबूत के तौर पर जो परियोजनाएँ गिनाई गईं,The projects cited as proof of the double engine,"जुलाई 2026 में पाँच साल पूरे होने पर मुख्यमंत्री ने 'डबल इंजन सरकार' का श्रेय देते हुए जो काम गिनाए, उनमें चारधाम ऑल-वेदर रोड, ऋषिकेश-कर्णप्रयाग रेल लाइन और एम्स का सैटेलाइट सेंटर शामिल थे. इनमें से चारधाम हाईवे का वादा दिसंबर 2022 तक पूरा करने का था, और उसकी सिलक्यारा सुरंग अब 2027 में खुलने की बात है. बाकी परियोजनाओं की तय तारीख़ और मौजूदा स्थिति क्या है?","Marking five years in office in July 2026, the Chief Minister credited the 'double-engine government' and cited the Char Dham all-weather road, the Rishikesh-Karnaprayag rail line and an AIIMS satellite centre. The Char Dham highway was promised complete by December 2022, and the Silkyara tunnel on it is now expected to open in 2027. What are the original deadlines and current status of the others?",,https://70sawal.github.io/q/64/,"ANI: Dhami completes five years in office, credits PM Modi and 'double-engine govt' <https://aninews.in/news/national/politics/uttarakhand-cm-dhami-completes-five-years-in-office-credits-pm-modi-double-engine-govt-for-states-progress20260704091838/>"
50,65,,rozgaar,B,verified,बेरोज़गारी दर 14.2% से 9.8%. फिर भी हर घर से कोई बाहर,Unemployment fell from 14.2% to 9.8%. Every home still has someone outside.,"आवधिक श्रम बल सर्वेक्षण के अनुसार उत्तराखंड में बेरोज़गारी दर 2022-23 के 14.2% से घटकर 2023-24 में 9.8% रह गई. गिरावट असली है और इसे मानना चाहिए. सवाल यह है कि इनमें से कितनों को राज्य के भीतर काम मिला, और कितने काम के लिए राज्य से बाहर चले गए?","The Periodic Labour Force Survey records Uttarakhand's unemployment rate falling from 14.2% in 2022-23 to 9.8% in 2023-24. The fall is real and should be acknowledged. The question is how many of those people found work inside the state, and how many left it to find work.",RTI-02,https://70sawal.github.io/q/65/,"PIB / MoSPI: Periodic Labour Force Survey: key employment and unemployment indicators, 2024 <https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2120359&reg=3&lang=2>"
51,66,,governance,A,verified,पच्चीस साल में राज्य ने क्या हासिल किया,What the state achieved in twenty-five years,"राज्य 2000 में बना. आज पहाड़ के नौ ज़िलों में 70% विशेषज्ञ डॉक्टर के पद ख़ाली हैं, 1,400 स्कूलों में एक भी बच्चा नहीं है, 1,700 से ज़्यादा गाँव खाली हो चुके हैं, और स्थायी राजधानी अब भी देहरादून है. पच्चीस साल में हर पार्टी ने सरकार चलाई है. सवाल किसी एक से नहीं, सबसे है.","The state was formed in 2000. Today 70% of specialist doctor posts in the nine hill districts are vacant, 1,400 schools have no children, more than 1,700 villages stand empty, and the permanent capital is still Dehradun. Every party has governed in those twenty-five years. This question is not for one of them, it is for all of them.",,https://70sawal.github.io/q/66/,"Wikipedia: Uttarakhand movement: the statehood demand and the 1987 Gairsain Declaration <https://en.wikipedia.org/wiki/Uttarakhand_movement> | Comptroller and Auditor General of India: CAG Report No. 5 of 2025: Smart Cities, Uttarakhand (official PDF) <https://cag.gov.in/uploads/download_audit_report/2025/Report-No.-05-Smart-Cities-UK---19-11-2025-signed-069b02aa24e1a16.54541284.pdf>"
52,67,,tourism,A,verified,"खराब मौसम में उड़ान भरी, सात लोगों की जान गई",A flight took off in poor weather. Seven people died.,"15 जून 2025 को केदारनाथ से गुप्तकाशी जा रहा एक हेलीकॉप्टर खराब दृश्यता में दुर्घटनाग्रस्त हो गया. सवार सातों लोगों की मौत हो गई. शुरुआती संकेत यह थे कि खराब मौसम के बावजूद उड़ान भरी गई. सवाल यह है कि हादसे से पहले मौसम की जाँच और उड़ान की अनुमति की व्यवस्था क्या थी, और उसे किसने लागू किया?","On 15 June 2025 a helicopter flying from Kedarnath to Guptkashi crashed in poor visibility, killing all seven on board. Preliminary indications were that it was airborne despite poor weather. What weather-check and flight-clearance system existed before the crash, and who enforced it?",RTI-11,https://70sawal.github.io/q/67/,"PIB, Government of India: Helicopter accident in the Kedarnath sector <https://www.pib.gov.in/PressReleasePage.aspx?PRID=2136457> | Business Standard: DGCA curbs Char Dham helicopter operations after Kedarnath crash, reviews safety <https://www.business-standard.com/industry/aviation/dgca-curbs-char-dham-helicopter-ops-post-kedarnath-crash-reviews-safety-125061500198_1.html>"
52.1,68,67,tourism,A,verified,दो और पायलट उसी तरह के मौसम में उड़ रहे थे,Two more pilots were flying in the same conditions,"हादसे के बाद नागरिक उड्डयन मंत्रालय ने एक कंपनी का चारधाम संचालन निलंबित किया और DGCA को केदारनाथ घाटी में अधिकारी तैनात करने को कहा. साथ ही एक दूसरी कंपनी के दो पायलटों के लाइसेंस छह महीने के लिए निलंबित किए गए, क्योंकि उनके हेलीकॉप्टर भी उसी तरह के अनुपयुक्त मौसम में उड़ते पाए गए. यानी यह अकेली चूक नहीं थी. निगरानी कहाँ थी?","After the crash the Civil Aviation Ministry suspended one operator's Char Dham operations and ordered DGCA officers posted in the Kedarnath valley. It also suspended the licences of two pilots of a second operator for six months, their aircraft having been found airborne in similarly unsuitable weather. So this was not a single lapse. Where was the oversight?",RTI-11,https://70sawal.github.io/q/67/,"Business Standard: DGCA curbs Char Dham helicopter operations after Kedarnath crash, reviews safety <https://www.business-standard.com/industry/aviation/dgca-curbs-char-dham-helicopter-ops-post-kedarnath-crash-reviews-safety-125061500198_1.html>"
52.2,72,67,tourism,A,verified,हर साल रिकॉर्ड भीड़. सुरक्षा का हिसाब कहाँ है?,Record crowds every year. Where is the safety account?,"2024 में 48 लाख और 2025 में 51 लाख से ज़्यादा श्रद्धालु चारधाम आए, और हर साल रिकॉर्ड संख्या की घोषणा होती है. उसी 2025 में एक हेलीकॉप्टर हादसे में सात लोगों की जान गई और दो अन्य पायलटों के लाइसेंस निलंबित करने पड़े. भीड़ का रिकॉर्ड हर साल गिना जाता है. सुरक्षा का हिसाब कहाँ दर्ज होता है?","Over 48 lakh pilgrims came to the Char Dham in 2024 and more than 51 lakh in 2025, and a record is announced every year. In that same 2025 a helicopter crash killed seven and the licences of two other pilots had to be suspended. The crowd record is counted every year. Where is the safety record kept?",RTI-11,https://70sawal.github.io/q/67/,"PIB, Government of India: Helicopter accident in the Kedarnath sector <https://www.pib.gov.in/PressReleasePage.aspx?PRID=2136457> | Business Standard: DGCA curbs Char Dham helicopter operations after Kedarnath crash, reviews safety <https://www.business-standard.com/industry/aviation/dgca-curbs-char-dham-helicopter-ops-post-kedarnath-crash-reviews-safety-125061500198_1.html>"
53,69,,environment,B,verified,NGT ने कहा: नदियों का वर्गीकरण करके क्रशर लगाना अवैध,NGT: classifying rivers to allow stone crushers is illegal,"राष्ट्रीय हरित अधिकरण ने कहा कि उत्तराखंड सरकार का नदियों को वर्गीकृत करके स्टोन क्रशर लगाने का तरीक़ा NGT अधिनियम का उल्लंघन करता है. सवाल यह है कि उस आदेश के बाद कितने क्रशरों की अनुमति रद्द हुई, और कितने आज भी चल रहे हैं?","The National Green Tribunal held that the Uttarakhand government's practice of classifying rivers in order to permit stone crushers violates the NGT Act. How many crusher permissions were cancelled after that order, and how many are still operating?",RTI-13,https://70sawal.github.io/q/69/,India Water Portal: Classifying rivers for setting up stone crushers is illegal: NGT to Uttarakhand government <https://www.indiawaterportal.org/articles/classifying-rivers-setting-stone-crushers-illegal-ngt-uttarakhand-government>
54,70,,environment,B,verified,सरकारी निगम पर ही अवैध खनन का जुर्माना,A state corporation itself was fined for illegal mining,"रिपोर्टों के मुताबिक उत्तराखंड वन विकास निगम पर नदी तल में NGT की रोक का उल्लंघन कर खनन करने के मामले में अवमानना की कार्रवाई हुई और दस करोड़ रुपये से ज़्यादा का जुर्माना लगा. जब सरकार का अपना निगम ही नियम तोड़ता पाया जाए, तो निजी खनन पर निगरानी कौन करेगा?","According to reports, the Uttarakhand Forest Development Corporation faced contempt proceedings for riverbed mining in violation of an NGT ban and was fined over Rs 10 crore. When the state's own corporation is found breaking the rule, who is policing private mining?",RTI-13,https://70sawal.github.io/q/70/,National Herald: Uttarakhand: the crores in the river <https://www.nationalheraldindia.com/india/uttarakhand-the-crores-in-the-river> | The Reporters' Collective: Uttarakhand outsources policing and royalty collection from riverbed miners to private players <https://www.reporters-collective.in/trc/uttarakhand-violates-sc-orders-on-river-mining>
55,73,,budget,B,verified,"शराब से कमाई का लक्ष्य दो साल में ₹4,000 से ₹5,060 करोड़","The liquor revenue target went from Rs 4,000 to Rs 5,060 crore in two years","2023-24 में आबकारी से ₹4,000 करोड़ के लक्ष्य के मुक़ाबले लगभग ₹4,039 करोड़ मिले. 2025-26 के लिए लक्ष्य बढ़ाकर ₹5,060 करोड़ कर दिया गया. उसी दौर में CAG कहता है कि पहाड़ के नौ ज़िलों में विशेषज्ञ डॉक्टर के 70% पद ख़ाली हैं. शराब से कमाई का लक्ष्य हर साल बढ़ता है. पहाड़ में डॉक्टर के पद भरने का लक्ष्य क्या है?","Against a target of Rs 4,000 crore in 2023-24, excise brought in about Rs 4,039 crore. The target for 2025-26 was raised to Rs 5,060 crore. Over the same period the CAG records 70% of specialist doctor posts vacant across nine hill districts. The liquor revenue target rises every year. What is the target for filling doctor posts in the hills?",,https://70sawal.github.io/q/73/,"Business Standard: Uttarakhand approves new excise policy, sets revenue target of Rs 4,440 crore <https://www.business-standard.com/india-news/u-khand-govt-approves-new-excise-policy-sets-revenue-target-of-rs-4-440-cr-124021401879_1.html> | ANI: Uttarakhand Cabinet approves new Excise Policy 2025 <https://aninews.in/news/national/general-news/uttarakhand-cabinet-approves-new-excise-policy-202520250303170903/>"
55.1,74,73,governance,B,verified,धार्मिक स्थलों के पास दुकानें बंद करने की घोषणा हुई थी,Shops near religious places were to be closed,"मार्च 2025 में मंज़ूर हुई नई आबकारी नीति में कहा गया था कि धार्मिक स्थलों के पास शराब की दुकानें बंद की जाएँगी और उप-दुकानें ख़त्म होंगी. घोषणा के बाद कितनी दुकानें वास्तव में बंद हुईं, और कितनी जगह लाइसेंस दूसरी जगह स्थानांतरित कर दिए गए?","The excise policy approved in March 2025 said liquor shops near religious places would be closed and sub-shops abolished. How many shops actually closed after that announcement, and in how many cases was the licence simply moved elsewhere?",,https://70sawal.github.io/q/73/,ANI: Uttarakhand Cabinet approves new Excise Policy 2025 <https://aninews.in/news/national/general-news/uttarakhand-cabinet-approves-new-excise-policy-202520250303170903/>
56,76,,budget,A,verified,कमाई का लक्ष्य तय होता है. भरने का लक्ष्य नहीं.,There is a target for earning. There is none for filling posts.,"आबकारी से कमाई का लक्ष्य हर साल तय होता है, आँकड़े के साथ, तारीख़ के साथ. डॉक्टरों के ख़ाली पद, बंद स्कूल और खाली गाँवों के लिए ऐसा कोई लक्ष्य सार्वजनिक रूप से तय नहीं होता. जिस चीज़ का लक्ष्य तय होता है, वह पूरी होती है. सवाल यह है कि लक्ष्य किन चीज़ों का तय किया जाता है?","A revenue target for excise is set every year, with a figure and a deadline. No comparable public target exists for filling vacant doctor posts, reopening closed schools, or repopulating empty villages. What gets a target tends to get done. The question is what gets a target.",,https://70sawal.github.io/q/76/,"Business Standard: Uttarakhand approves new excise policy, sets revenue target of Rs 4,440 crore <https://www.business-standard.com/india-news/u-khand-govt-approves-new-excise-policy-sets-revenue-target-of-rs-4-440-cr-124021401879_1.html> | Comptroller and Auditor General of India: CAG Report No. 3 of 2024: Public Health Infrastructure and Management of Health Services, Uttarakhand <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-3-of-2024_PA-on-PHIMHS-GoUK_English-067b7164ba564a0.20810756.pdf>"
57,77,,rozgaar,B,verified,बाहर पेपर लीक. अंदर 250 से ज़्यादा पिछले दरवाज़े की भर्तियाँ.,Papers leaking outside. Over 250 backdoor appointments inside.,"2022 में विधानसभा सचिवालय में हुई भर्तियों की जाँच के लिए तीन सदस्यीय समिति बनी. रिपोर्ट के बाद विधानसभा अध्यक्ष ने 250 से ज़्यादा नियुक्तियाँ रद्द कीं और सचिव को अवकाश पर भेजकर उनका कार्यालय सील कर दिया गया. उसी दौर में बाहर भर्ती परीक्षाओं के पेपर लीक हो रहे थे और छात्र सड़क पर थे. सवाल: वे नियुक्तियाँ किसकी सिफ़ारिश पर हुईं, और कितनों पर कार्रवाई हुई?","In 2022 a three-member committee was constituted to examine recruitment in the Assembly Secretariat. Following its report the Speaker cancelled more than 250 appointments, sent the Secretary on leave and sealed his office. Over the same period recruitment exam papers were leaking outside and students were on the streets. On whose recommendation were those appointments made, and how many people faced action?",RTI-06,https://70sawal.github.io/q/77/,"Amar Ujala: जांच समिति की रिपोर्ट के बाद विधानसभा अध्यक्ष ने रद्द कीं नियुक्तियां, सचिव निलंबित <https://www.amarujala.com/dehradun/uttarakhand-assembly-backdoor-recruitment-investigation-report-disclosed-speaker-ritu-khanduri-pressconference> | Outlook India: Three-member panel to probe recruitment at Assembly Secretariat since creation of the state <https://www.outlookindia.com/national/uttarakhand-three-member-panel-to-probe-recruitment-at-assembly-secretariat-since-creation-of-state-news-220936>"
58,78,,governance,B,verified,"जाँच का दूसरा हिस्सा, 2000 से 2011, कहाँ पहुँचा?","What happened to the second half of the probe, 2000 to 2011?","समिति का दायरा राज्य बनने के बाद से हुई सभी भर्तियों तक था. पहले चरण में 2012 से 2022 की भर्तियाँ देखी गईं. 2000 से 2011 का चरण कहाँ पहुँचा, उसकी रिपोर्ट कब आई, और उसमें क्या निकला? इसी मामले में उच्च न्यायालय के आदेश के बाद आगे क्या हुआ?","The committee's remit covered all recruitment since the state was created. The first phase examined 2012 to 2022. What happened to the 2000 to 2011 phase, when did it report, and what did it find? And what followed the High Court's order in the same matter?",RTI-06,https://70sawal.github.io/q/78/,Outlook India: Three-member panel to probe recruitment at Assembly Secretariat since creation of the state <https://www.outlookindia.com/national/uttarakhand-three-member-panel-to-probe-recruitment-at-assembly-secretariat-since-creation-of-state-news-220936> | ETV Bharat: विधानसभा बैक डोर भर्ती: हाईकोर्ट के आदेश के बाद सरकार ने साधी चुप्पी <https://www.etvbharat.com/hindi/uttarakhand/state/dehradun/after-uttarakhand-high-court-verdict-government-on-back-foot-in-assembly-backdoor-recruitment-case/uttarakhand20221017201350224224516>
59,79,,governance,B,verified,"एक कानून बना, दो साल में वापस ले लिया गया",A law was made and withdrawn within two years,"दिसंबर 2019 में चारधाम देवस्थानम प्रबंधन अधिनियम पास हुआ और जनवरी 2020 में बोर्ड बना, जिसने 51 मंदिरों का प्रबंधन अपने हाथ में लिया. पुरोहितों के विरोध के बाद नवंबर 2021 में सरकार ने वही कानून वापस ले लिया. सवाल यह नहीं कि मंदिर कौन चलाए. सवाल यह है कि कानून बनाने से पहले सलाह-मशविरा क्यों नहीं हुआ, और बोर्ड बनाने-हटाने पर कुल कितना ख़र्च आया?","The Char Dham Devasthanam Management Act was passed in December 2019 and the board constituted in January 2020, taking over the management of 51 temples. After protests by priests, the government repealed the same law in November 2021. The question is not who should run temples. It is why the consultation did not happen before the law was passed, and what creating and dissolving the board cost in total.",,https://70sawal.github.io/q/79/,"ThePrint: Vindicated, say Uttarakhand priests as state govt decides to repeal Char Dham Board Act <https://theprint.in/india/vindicated-say-uttarakhand-priests-as-state-govt-decides-to-repeal-char-dham-board-act/774441/> | Sacred Yatra: Chardham Devasthanam Board: what it was and how it was dissolved <https://www.sacredyatra.com/chardham-devasthanam-board.html>"
